image_id,vision_prob,vision_pred,vision_model
cct0001,0.013,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0002,0.01,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0003,0.017,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0004,0.886,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0005,0.867,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0006,0.559,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0007,0.048,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0008,0.073,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0009,0.046,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0010,0.026,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0011,0.012,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0012,0.017,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0013,0.942,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0014,0.949,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0015,0.937,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0016,0.912,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0017,0.895,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0018,0.769,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0019,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0020,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0021,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0022,0.871,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0023,0.025,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0024,0.018,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0025,0.013,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0026,0.018,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0027,0.015,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0028,0.942,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0029,0.94,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0030,0.952,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0031,0.937,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0032,0.972,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0033,0.947,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0034,0.026,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0035,0.024,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0036,0.032,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0037,0.091,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0038,0.116,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0039,0.174,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0040,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0041,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0042,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0043,0.027,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0044,0.147,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0045,0.169,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0046,0.759,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0047,0.804,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0048,0.806,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0049,0.982,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0050,0.981,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0051,0.98,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0052,0.953,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0053,0.967,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0054,0.951,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0055,0.014,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0056,0.021,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0057,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0058,0.835,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0059,0.924,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0060,0.85,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0061,0.757,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0062,0.685,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0063,0.699,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0064,0.116,0,MegaDetector v5a.0.0 with repeat-detection elimination
