image_id,split
cct0001,analysis
cct0002,analysis
cct0003,analysis
cct0004,analysis
cct0005,analysis
cct0006,analysis
cct0007,analysis
cct0008,analysis
cct0009,analysis
cct0010,analysis
cct0011,analysis
cct0012,analysis
cct0013,analysis
cct0014,analysis
cct0015,analysis
cct0016,analysis
cct0017,analysis
cct0018,analysis
cct0019,analysis
cct0020,analysis
cct0021,analysis
cct0022,analysis
cct0023,analysis
cct0024,analysis
cct0025,analysis
cct0026,analysis
cct0027,analysis
cct0028,analysis
cct0029,analysis
cct0030,analysis
cct0031,analysis
cct0032,analysis
cct0033,analysis
cct0034,analysis
cct0035,analysis
cct0036,analysis
cct0037,analysis
cct0038,analysis
cct0039,analysis
cct0040,analysis
cct0041,analysis
cct0042,analysis
cct0043,analysis
cct0044,analysis
cct0045,analysis
cct0046,analysis
cct0047,analysis
cct0048,analysis
cct0049,analysis
cct0050,analysis
cct0051,analysis
cct0052,analysis
cct0053,analysis
cct0054,analysis
cct0055,analysis
cct0056,analysis
cct0057,analysis
cct0058,analysis
cct0059,analysis
cct0060,analysis
cct0061,analysis
cct0062,analysis
cct0063,analysis
cct0064,analysis
cct0065,analysis
cct0066,analysis
cct0067,analysis
cct0068,analysis
cct0069,analysis
cct0070,analysis
cct0071,analysis
cct0072,analysis
cct0073,analysis
cct0074,analysis
cct0075,analysis
cct0076,analysis
cct0077,analysis
cct0078,analysis
cct0079,analysis
cct0080,analysis
cct0081,analysis
cct0082,analysis
cct0083,analysis
cct0084,analysis
cct0085,analysis
cct0086,analysis
cct0087,analysis
cct0088,analysis
cct0089,analysis
cct0090,analysis
cct0091,analysis
cct0092,analysis
cct0093,analysis
cct0094,analysis
cct0095,analysis
cct0096,analysis
cct0097,analysis
cct0098,analysis
cct0099,analysis
cct0100,analysis
cct0101,analysis
cct0102,analysis
cct0103,analysis
cct0104,analysis
cct0105,analysis
cct0106,analysis
cct0107,analysis
cct0108,analysis
cct0109,holdout_camera
cct0110,holdout_camera
cct0111,holdout_camera
cct0112,holdout_camera
cct0113,holdout_camera
cct0114,holdout_camera
cct0115,holdout_camera
cct0116,holdout_camera
cct0117,holdout_camera
cct0118,holdout_camera
cct0119,holdout_camera
cct0120,holdout_camera
cct0121,holdout_camera
cct0122,holdout_camera
cct0123,holdout_camera
cct0124,holdout_camera
cct0125,holdout_camera
cct0126,holdout_camera
cct0127,holdout_camera
cct0128,holdout_camera
cct0129,holdout_camera
cct0130,holdout_camera
cct0131,holdout_camera
cct0132,holdout_camera
cct0133,holdout_camera
cct0134,holdout_camera
cct0135,holdout_camera
cct0136,holdout_camera
cct0137,holdout_camera
cct0138,holdout_camera
cct0139,holdout_camera
cct0140,holdout_camera
cct0141,holdout_camera
cct0142,holdout_camera
cct0143,holdout_camera
cct0144,holdout_camera
cct0145,holdout_camera
cct0146,holdout_camera
cct0147,holdout_camera
cct0148,holdout_camera
cct0149,holdout_camera
cct0150,holdout_camera
cct0151,holdout_camera
cct0152,holdout_camera
cct0153,holdout_camera
cct0154,holdout_camera
cct0155,holdout_camera
cct0156,holdout_camera
cct0157,holdout_camera
cct0158,holdout_camera
cct0159,holdout_camera
cct0160,holdout_camera
cct0161,holdout_camera
cct0162,holdout_camera
cct0163,homework_holdout
cct0164,homework_holdout
cct0165,homework_holdout
cct0166,homework_holdout
cct0167,homework_holdout
cct0168,homework_holdout
cct0169,homework_holdout
cct0170,homework_holdout
cct0171,homework_holdout
cct0172,homework_holdout
cct0173,homework_holdout
cct0174,homework_holdout
cct0175,homework_holdout
cct0176,homework_holdout
cct0177,homework_holdout
cct0178,homework_holdout
cct0179,homework_holdout
cct0180,homework_holdout
cct0181,homework_holdout
cct0182,homework_holdout
cct0183,homework_holdout
cct0184,homework_holdout
cct0185,homework_holdout
cct0186,homework_holdout
cct0187,homework_holdout
cct0188,homework_holdout
cct0189,homework_holdout
cct0190,homework_holdout
cct0191,homework_holdout
cct0192,homework_holdout
cct0193,homework_holdout
cct0194,homework_holdout
cct0195,homework_holdout
cct0196,homework_holdout
cct0197,homework_holdout
cct0198,homework_holdout
cct0199,homework_holdout
cct0200,homework_holdout
cct0201,homework_holdout
cct0202,homework_holdout
cct0203,homework_holdout
cct0204,homework_holdout
cct0205,homework_holdout
cct0206,homework_holdout
cct0207,homework_holdout
cct0208,homework_holdout
cct0209,homework_holdout
cct0210,homework_holdout
cct0211,homework_holdout
cct0212,homework_holdout
cct0213,homework_holdout
cct0214,homework_holdout
cct0215,homework_holdout
cct0216,homework_holdout
