image_id,camera_id,sequence_id,frame_index,day_night,animal_present,image_path,source_image_id,source_file_name,species_label,date_captured,rights_holder
cct0001,cct_location_019,701e9c7d-5567-11e8-ae0c-dca9047ef277,0,day,0,camera_traps/images/cct0001.jpg,5a063147-23d2-11e8-a6a3-ec086b02610b,5a063147-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2013-11-12 08:10:32,Justin Brown
cct0002,cct_location_019,701e9c7d-5567-11e8-ae0c-dca9047ef277,1,day,0,camera_traps/images/cct0002.jpg,5998cd9e-23d2-11e8-a6a3-ec086b02610b,5998cd9e-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2013-11-12 08:10:33,Justin Brown
cct0003,cct_location_019,701e9c7d-5567-11e8-ae0c-dca9047ef277,2,day,0,camera_traps/images/cct0003.jpg,596bda2d-23d2-11e8-a6a3-ec086b02610b,596bda2d-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2013-11-12 08:10:34,Justin Brown
cct0004,cct_location_019,701ea0ae-5567-11e8-bb56-dca9047ef277,0,day,1,camera_traps/images/cct0004.jpg,5a1fe82a-23d2-11e8-a6a3-ec086b02610b,5a1fe82a-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2013-12-05 08:34:50,Justin Brown
cct0005,cct_location_019,701ea0ae-5567-11e8-bb56-dca9047ef277,1,day,1,camera_traps/images/cct0005.jpg,597e60fc-23d2-11e8-a6a3-ec086b02610b,597e60fc-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2013-12-05 08:34:51,Justin Brown
cct0006,cct_location_019,701ea0ae-5567-11e8-bb56-dca9047ef277,2,day,1,camera_traps/images/cct0006.jpg,5987b479-23d2-11e8-a6a3-ec086b02610b,5987b479-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2013-12-05 08:34:52,Justin Brown
cct0007,cct_location_019,701ea4cf-5567-11e8-af5e-dca9047ef277,0,night,0,camera_traps/images/cct0007.jpg,5a063002-23d2-11e8-a6a3-ec086b02610b,5a063002-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2013-12-12 01:48:30,Justin Brown
cct0008,cct_location_019,701ea4cf-5567-11e8-af5e-dca9047ef277,1,night,0,camera_traps/images/cct0008.jpg,598f777d-23d2-11e8-a6a3-ec086b02610b,598f777d-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2013-12-12 01:48:31,Justin Brown
cct0009,cct_location_019,701ea4cf-5567-11e8-af5e-dca9047ef277,2,night,0,camera_traps/images/cct0009.jpg,59941df9-23d2-11e8-a6a3-ec086b02610b,59941df9-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2013-12-12 01:48:32,Justin Brown
cct0010,cct_location_019,701ea9bd-5567-11e8-b800-dca9047ef277,0,night,0,camera_traps/images/cct0010.jpg,59b131db-23d2-11e8-a6a3-ec086b02610b,59b131db-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-01-02 03:07:21,Justin Brown
cct0011,cct_location_019,701ea9bd-5567-11e8-b800-dca9047ef277,1,night,0,camera_traps/images/cct0011.jpg,59a49a63-23d2-11e8-a6a3-ec086b02610b,59a49a63-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-01-02 03:07:22,Justin Brown
cct0012,cct_location_019,701ea9bd-5567-11e8-b800-dca9047ef277,2,night,0,camera_traps/images/cct0012.jpg,59f46421-23d2-11e8-a6a3-ec086b02610b,59f46421-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-01-02 03:07:23,Justin Brown
cct0013,cct_location_019,701eb11c-5567-11e8-a656-dca9047ef277,0,day,1,camera_traps/images/cct0013.jpg,5a1e4f69-23d2-11e8-a6a3-ec086b02610b,5a1e4f69-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-04-06 10:20:01,Justin Brown
cct0014,cct_location_019,701eb11c-5567-11e8-a656-dca9047ef277,1,day,1,camera_traps/images/cct0014.jpg,598de8fd-23d2-11e8-a6a3-ec086b02610b,598de8fd-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-04-06 10:20:02,Justin Brown
cct0015,cct_location_019,701eb11c-5567-11e8-a656-dca9047ef277,2,day,1,camera_traps/images/cct0015.jpg,59738747-23d2-11e8-a6a3-ec086b02610b,59738747-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-04-06 10:20:03,Justin Brown
cct0016,cct_location_019,701eb3f8-5567-11e8-92be-dca9047ef277,0,day,1,camera_traps/images/cct0016.jpg,5a015e2b-23d2-11e8-a6a3-ec086b02610b,5a015e2b-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-04-07 07:46:36,Justin Brown
cct0017,cct_location_019,701eb3f8-5567-11e8-92be-dca9047ef277,1,day,1,camera_traps/images/cct0017.jpg,59f79a4c-23d2-11e8-a6a3-ec086b02610b,59f79a4c-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-04-07 07:46:37,Justin Brown
cct0018,cct_location_019,701eb3f8-5567-11e8-92be-dca9047ef277,2,day,1,camera_traps/images/cct0018.jpg,59af9712-23d2-11e8-a6a3-ec086b02610b,59af9712-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-04-07 07:46:38,Justin Brown
cct0019,cct_location_068,701dccd7-5567-11e8-929d-dca9047ef277,0,day,0,camera_traps/images/cct0019.jpg,59641d1d-23d2-11e8-a6a3-ec086b02610b,59641d1d-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-10-21 12:52:05,Justin Brown
cct0020,cct_location_068,701dccd7-5567-11e8-929d-dca9047ef277,1,day,0,camera_traps/images/cct0020.jpg,59531ba7-23d2-11e8-a6a3-ec086b02610b,59531ba7-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-10-21 12:52:06,Justin Brown
cct0021,cct_location_068,701dccd7-5567-11e8-929d-dca9047ef277,2,day,0,camera_traps/images/cct0021.jpg,595c6aeb-23d2-11e8-a6a3-ec086b02610b,595c6aeb-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-10-21 12:52:07,Justin Brown
cct0022,cct_location_068,701dcd30-5567-11e8-90fa-dca9047ef277,0,day,1,camera_traps/images/cct0022.jpg,5954a8f3-23d2-11e8-a6a3-ec086b02610b,5954a8f3-23d2-11e8-a6a3-ec086b02610b.jpg,lizard,2014-10-22 11:50:47,Justin Brown
cct0023,cct_location_068,701dcd30-5567-11e8-90fa-dca9047ef277,1,day,1,camera_traps/images/cct0023.jpg,5954a810-23d2-11e8-a6a3-ec086b02610b,5954a810-23d2-11e8-a6a3-ec086b02610b.jpg,lizard,2014-10-22 11:50:48,Justin Brown
cct0024,cct_location_068,701dcd30-5567-11e8-90fa-dca9047ef277,2,day,1,camera_traps/images/cct0024.jpg,594b5f6b-23d2-11e8-a6a3-ec086b02610b,594b5f6b-23d2-11e8-a6a3-ec086b02610b.jpg,lizard,2014-10-22 11:50:49,Justin Brown
cct0025,cct_location_068,701dce70-5567-11e8-886f-dca9047ef277,0,day,0,camera_traps/images/cct0025.jpg,59531cf9-23d2-11e8-a6a3-ec086b02610b,59531cf9-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-10-30 10:59:55,Justin Brown
cct0026,cct_location_068,701dce70-5567-11e8-886f-dca9047ef277,1,day,0,camera_traps/images/cct0026.jpg,595ded6f-23d2-11e8-a6a3-ec086b02610b,595ded6f-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-10-30 10:59:56,Justin Brown
cct0027,cct_location_068,701dce70-5567-11e8-886f-dca9047ef277,2,day,0,camera_traps/images/cct0027.jpg,5954a860-23d2-11e8-a6a3-ec086b02610b,5954a860-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-10-30 10:59:57,Justin Brown
cct0028,cct_location_068,701dcfb8-5567-11e8-a002-dca9047ef277,0,day,1,camera_traps/images/cct0028.jpg,595f78d8-23d2-11e8-a6a3-ec086b02610b,595f78d8-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-11-02 13:52:25,Justin Brown
cct0029,cct_location_068,701dcfb8-5567-11e8-a002-dca9047ef277,1,day,1,camera_traps/images/cct0029.jpg,59518fd5-23d2-11e8-a6a3-ec086b02610b,59518fd5-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-11-02 13:52:26,Justin Brown
cct0030,cct_location_068,701dcfb8-5567-11e8-a002-dca9047ef277,2,day,1,camera_traps/images/cct0030.jpg,595f7a4e-23d2-11e8-a6a3-ec086b02610b,595f7a4e-23d2-11e8-a6a3-ec086b02610b.jpg,bird,2014-11-02 13:52:27,Justin Brown
cct0031,cct_location_068,701dd063-5567-11e8-b5ff-dca9047ef277,0,night,1,camera_traps/images/cct0031.jpg,59531a60-23d2-11e8-a6a3-ec086b02610b,59531a60-23d2-11e8-a6a3-ec086b02610b.jpg,fox,2014-11-05 18:58:03,Justin Brown
cct0032,cct_location_068,701dd063-5567-11e8-b5ff-dca9047ef277,1,night,1,camera_traps/images/cct0032.jpg,595c67cd-23d2-11e8-a6a3-ec086b02610b,595c67cd-23d2-11e8-a6a3-ec086b02610b.jpg,fox,2014-11-05 18:58:04,Justin Brown
cct0033,cct_location_068,701dd063-5567-11e8-b5ff-dca9047ef277,2,night,1,camera_traps/images/cct0033.jpg,594b5e92-23d2-11e8-a6a3-ec086b02610b,594b5e92-23d2-11e8-a6a3-ec086b02610b.jpg,fox,2014-11-05 18:58:04,Justin Brown
cct0034,cct_location_068,701dd105-5567-11e8-8f12-dca9047ef277,0,day,0,camera_traps/images/cct0034.jpg,59595150-23d2-11e8-a6a3-ec086b02610b,59595150-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-11-14 12:39:18,Justin Brown
cct0035,cct_location_068,701dd105-5567-11e8-8f12-dca9047ef277,1,day,0,camera_traps/images/cct0035.jpg,59518e32-23d2-11e8-a6a3-ec086b02610b,59518e32-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-11-14 12:39:20,Justin Brown
cct0036,cct_location_068,701dd105-5567-11e8-8f12-dca9047ef277,2,day,0,camera_traps/images/cct0036.jpg,594e770d-23d2-11e8-a6a3-ec086b02610b,594e770d-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-11-14 12:39:20,Justin Brown
cct0037,cct_location_082,701a5c05-5567-11e8-a469-dca9047ef277,0,day,0,camera_traps/images/cct0037.jpg,593735c5-23d2-11e8-a6a3-ec086b02610b,593735c5-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-08-28 12:47:01,Justin Brown
cct0038,cct_location_082,701a5c05-5567-11e8-a469-dca9047ef277,1,day,0,camera_traps/images/cct0038.jpg,585c0605-23d2-11e8-a6a3-ec086b02610b,585c0605-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-08-28 12:47:02,Justin Brown
cct0039,cct_location_082,701a5c05-5567-11e8-a469-dca9047ef277,2,day,0,camera_traps/images/cct0039.jpg,59292f7d-23d2-11e8-a6a3-ec086b02610b,59292f7d-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-08-28 12:47:03,Justin Brown
cct0040,cct_location_082,701a5c5c-5567-11e8-94c2-dca9047ef277,0,night,0,camera_traps/images/cct0040.jpg,58b6655a-23d2-11e8-a6a3-ec086b02610b,58b6655a-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-11-25 19:54:00,Justin Brown
cct0041,cct_location_082,701a5c5c-5567-11e8-94c2-dca9047ef277,1,night,0,camera_traps/images/cct0041.jpg,587b7e0d-23d2-11e8-a6a3-ec086b02610b,587b7e0d-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-11-25 19:54:01,Justin Brown
cct0042,cct_location_082,701a5c5c-5567-11e8-94c2-dca9047ef277,2,night,0,camera_traps/images/cct0042.jpg,58b82299-23d2-11e8-a6a3-ec086b02610b,58b82299-23d2-11e8-a6a3-ec086b02610b.jpg,empty,2014-11-25 19:54:01,Justin Brown
